Date,Price
9/24/2021,42839.75
9/25/2021,42716.59
9/26/2021,43208.54
9/27/2021,42235.73
9/28/2021,41034.54
9/29/2021,41564.36
9/30/2021,43790.9
10/1/2021,48116.94
10/2/2021,47711.49
10/3/2021,48199.95
10/4/2021,49112.9
10/5/2021,51514.81
10/6/2021,55361.45
10/7/2021,53805.99
10/8/2021,53967.85
10/9/2021,54968.22
10/10/2021,54771.58
10/11/2021,57484.79
10/12/2021,56041.06
10/13/2021,57401.1
10/14/2021,57321.53
10/15/2021,61593.95
10/16/2021,60892.18
10/17/2021,61553.62
10/18/2021,62026.08
10/19/2021,64261.99
10/20/2021,65992.84
10/21/2021,62210.17
10/22/2021,60692.26
10/23/2021,61393.62
10/24/2021,60930.84
10/25/2021,63039.83
10/26/2021,60363.79
10/27/2021,58482.39
10/28/2021,60622.14
10/29/2021,62227.96
10/30/2021,61888.83
10/31/2021,61318.96
11/1/2021,61004.41
11/2/2021,63226.4
11/3/2021,62970.05
11/4/2021,61452.23
11/5/2021,61125.67
11/6/2021,61527.48
11/7/2021,63326.99
11/8/2021,67566.83
11/9/2021,66971.83
11/10/2021,64995.23
11/11/2021,64949.96
11/12/2021,64155.94
11/13/2021,64469.53
11/14/2021,65466.84
11/15/2021,63557.87
11/16/2021,60161.25
11/17/2021,60368.01
11/18/2021,56942.14
11/19/2021,58119.58
11/20/2021,59697.2
11/21/2021,58730.48
11/22/2021,56289.29
11/23/2021,57569.07
11/24/2021,56280.43
11/25/2021,57274.68
11/26/2021,53569.76
11/27/2021,54815.08
11/28/2021,57248.46
11/29/2021,57806.57
11/30/2021,57005.43
12/1/2021,57229.83
12/2/2021,56477.82
12/3/2021,53598.25
12/4/2021,49200.7
12/5/2021,49368.85
12/6/2021,50582.63
12/7/2021,50700.08
12/8/2021,50504.8
12/9/2021,47672.12
12/10/2021,47243.31
12/11/2021,49362.51
12/12/2021,50098.34
12/13/2021,46737.48
12/14/2021,46612.63
12/15/2021,48896.72
12/16/2021,47665.43
12/17/2021,46202.14
12/18/2021,46848.78
12/19/2021,46707.01
12/20/2021,46880.28
12/21/2021,48936.61
12/22/2021,48628.51
12/23/2021,50784.54
12/24/2021,50822.2
12/25/2021,50429.86
12/26/2021,50809.52
12/27/2021,50640.42
12/28/2021,47588.85
12/29/2021,46444.71
12/30/2021,47178.13
12/31/2021,46306.45
1/1/2022,47686.81
1/2/2022,47345.22
1/3/2022,46458.12
1/4/2022,45897.58
1/5/2022,43569
1/6/2022,43160.93
1/7/2022,41557.9
1/8/2022,41733.94
1/9/2022,41911.6
1/10/2022,41821.26
1/11/2022,42735.85
1/12/2022,43949.1
1/13/2022,42591.57
1/14/2022,43099.7
1/15/2022,43177.4
1/16/2022,43113.88
1/17/2022,42250.55
1/18/2022,42375.63
1/19/2022,41744.33
1/20/2022,40680.42
1/21/2022,36457.32
1/22/2022,35030.25
1/23/2022,36276.8
1/24/2022,36654.33
1/25/2022,36954
1/26/2022,36852.12
1/27/2022,37138.23
1/28/2022,37784.33
1/29/2022,38138.18
1/30/2022,37917.6
1/31/2022,38483.13
2/1/2022,38743.27
2/2/2022,36952.98
2/3/2022,37154.6
2/4/2022,41500.88
2/5/2022,41441.16
2/6/2022,42412.43
2/7/2022,43840.29
2/8/2022,44118.45
2/9/2022,44338.8
2/10/2022,43565.11
2/11/2022,42407.94
2/12/2022,42244.47
2/13/2022,42197.52
2/14/2022,42586.92
2/15/2022,44575.2
2/16/2022,43961.86
2/17/2022,40538.01
2/18/2022,40030.98
2/19/2022,40122.15
2/20/2022,38431.38
2/21/2022,37075.28
2/22/2022,38286.03
2/23/2022,37296.57
2/24/2022,38332.61
2/25/2022,39214.22
2/26/2022,39105.15
2/27/2022,37709.78
2/28/2022,43193.23
3/1/2022,44354.64
3/2/2022,43924.12
3/3/2022,42451.79
3/4/2022,39137.6
3/5/2022,39400.58
3/6/2022,38419.98
3/7/2022,38062.04
3/8/2022,38737.27
3/9/2022,41982.93
3/10/2022,39437.46
3/11/2022,38794.97
3/12/2022,38904.01
3/13/2022,37849.66
3/14/2022,39666.76
3/15/2022,39338.79
3/16/2022,41143.93
3/17/2022,40951.38
3/18/2022,41801.15
3/19/2022,42190.65
3/20/2022,41247.82
3/21/2022,41078
3/22/2022,42358.81
3/23/2022,42892.96
3/24/2022,43960.93
3/25/2022,44348.73
3/26/2022,44500.83
3/27/2022,46820.49
3/28/2022,47128.01
3/29/2022,47465.73
3/30/2022,47062.66
3/31/2022,45538.68
4/1/2022,46281.64
4/2/2022,45868.95
4/3/2022,46453.57
4/4/2022,46622.67
4/5/2022,45555.99
4/6/2022,43206.74
4/7/2022,43503.85
4/8/2022,42287.66
4/9/2022,42782.14
4/10/2022,42207.67
4/11/2022,39521.9
4/12/2022,40127.18
4/13/2022,41166.73
4/14/2022,39935.52
4/15/2022,40553.46
4/16/2022,40424.48
4/17/2022,39716.95
4/18/2022,40826.21
4/19/2022,41502.75
4/20/2022,41374.38
4/21/2022,40527.36
4/22/2022,39740.32
4/23/2022,39486.73
4/24/2022,39469.29
4/25/2022,40458.31
4/26/2022,38117.46
4/27/2022,39241.12
4/28/2022,39773.83
4/29/2022,38609.82
4/30/2022,37714.88
5/1/2022,38469.09
5/2/2022,38529.33
5/3/2022,37750.45
5/4/2022,39698.37
5/5/2022,36575.14
5/6/2022,36040.92
5/7/2022,35501.95
5/8/2022,34059.26
5/9/2022,30296.95
5/10/2022,31022.91
5/11/2022,28936.36
5/12/2022,29047.75
5/13/2022,29283.1
5/14/2022,30101.27
5/15/2022,31305.11
5/16/2022,29862.92
5/17/2022,30425.86
5/18/2022,28720.27
5/19/2022,30314.33
5/20/2022,29200.74
5/21/2022,29432.23
5/22/2022,30323.72
5/23/2022,29098.91
5/24/2022,29655.59
5/25/2022,29562.36
5/26/2022,29267.22
5/27/2022,28627.57
5/28/2022,29023.49
5/29/2022,29445.96
5/30/2022,31726.39
5/31/2022,31792.31
6/1/2022,29799.08
6/2/2022,30467.49
6/3/2022,29704.39
6/4/2022,29832.91
6/5/2022,29906.66
6/6/2022,31370.67
6/7/2022,31155.48
6/8/2022,30214.36
6/9/2022,30112
6/10/2022,29083.8
6/11/2022,28360.81
6/12/2022,26762.65
6/13/2022,22487.39
6/14/2022,22206.79
6/15/2022,22572.84
6/16/2022,20381.65
6/17/2022,20471.48
6/18/2022,19017.64
6/19/2022,20553.27
6/20/2022,20599.54
6/21/2022,20710.6
6/22/2022,19987.03
6/23/2022,21085.88
6/24/2022,21231.66
6/25/2022,21502.34
6/26/2022,21027.3
6/27/2022,20735.48
6/28/2022,20280.64
6/29/2022,20104.02
6/30/2022,19784.73
7/1/2022,19269.37
7/2/2022,19242.26
7/3/2022,19297.08
7/4/2022,20231.26
7/5/2022,20190.11
7/6/2022,20548.25
7/7/2022,21637.59
7/8/2022,21731.12
7/9/2022,21592.21
7/10/2022,20860.45
7/11/2022,19970.56
7/12/2022,19323.91
7/13/2022,20212.07
7/14/2022,20569.92
7/15/2022,20836.33
7/16/2022,21190.32
7/17/2022,20779.34
7/18/2022,22485.69
7/19/2022,23389.43
7/20/2022,23231.73
7/21/2022,23164.63
7/22/2022,22714.98
7/23/2022,22465.48
7/24/2022,22609.16
7/25/2022,21361.7
7/26/2022,21239.75
7/27/2022,22930.55
7/28/2022,23843.89
7/29/2022,23804.63
7/30/2022,23656.21
7/31/2022,23336.9
8/1/2022,23314.2
8/2/2022,22978.12
8/3/2022,22846.51
